Reseller Top Parent Name;OrgID;Org als Text;Unique Name (Masterlist)
Saturn Elektro-Handels-GmbH;6075353;6075353; Saturn Köln-Weiden
Media Markt GmbH;3935357;3935357;Fil. Media Markt Würzburg City
FNAC (Suisse) SA;57094842;57094842;Fnac Allaman
FNAC (Suisse) SA;11064427;11064427;FNAC Balexert
FNAC (Suisse) SA;82204727;82204727;FNAC Biel
FNAC (Suisse) SA;82204786;82204786;FNAC Chavannes
FNAC (Suisse) SA;35548463;35548463;FNAC Conthey
Media Markt GmbH;44195044;44195044;Media Markt Bornheim
Media Markt GmbH;13948451;13948451;Media Markt Brandenburg 
Media Markt GmbH;3935319;3935319;Media Markt Braunschweig
FNAC (Suisse) SA;57597641;57597641;FNAC Conthey
FNAC (Suisse) SA;57094829;57094829;FNAC Conthey
FNAC (Suisse) SA;62205566;62205566;FNAC Eaux-Vives
FNAC (Suisse) SA;56927800;56927800;FNAC Firbourg
FNAC (Suisse) SA;35548461;35548461;FNAC Firbourg
FNAC (Suisse) SA;74035370;74035370;FNAC Firbourg
FNAC (Suisse) SA;74035368;74035368;FNAC Genf Rue de Rive
FNAC (Suisse) SA;15225168;15225168;FNAC Genf Rue de Rive
FNAC (Suisse) SA;11064429;11064429;FNAC Lausanne
FNAC (Suisse) SA;74035369;74035369;FNAC Lausanne
FNAC (Suisse) SA;82204687;82204687;FNAC Monthey
FNAC (Suisse) SA;57094843;57094843;Fnac Montreux
FNAC (Suisse) SA;57597642;57597642;FNAC Neuenburg
Interdiscount Division der Coop Basel;34799488;34799488;Interdiscount - La Maladière XXL
Interdiscount Division der Coop Basel;34799509;34799509;Interdiscount -  Neuchâtel Ville
FNAC (Suisse) SA;57094844;57094844;FNAC Neuenburg
FNAC (Suisse) SA;38358357;38358357;FNAC Neuenburg
FNAC (Suisse) SA;62174566;62174566;FNAC Online
FNAC (Suisse) SA;9561597;9561597;FNAC Vernier
FNAC (Suisse) SA;82648342;82648342;FNAC Vesenaz
Interdiscount Division der Coop Basel;3855463;3855463;Interdiscount - Aarau XXL
Interdiscount Division der Coop Basel;51586111;51586111;Interdiscount - Adliswil
Interdiscount Division der Coop Basel;10761361;10761361;Interdiscount - Affoltern
Interdiscount Division der Coop Basel;1366712;1366712;Interdiscount - Allaman
Interdiscount Division der Coop Basel;45082724;45082724;Interdiscount - Allman Coop@Home
Interdiscount Division der Coop Basel;18202568;18202568;Interdiscount - Allschwil
Interdiscount Division der Coop Basel;5019062;5019062;Interdiscount - Altdorf
Interdiscount Division der Coop Basel;5019108;5019108;Interdiscount - Amriswil
Interdiscount Division der Coop Basel;5019138;5019138;Interdiscount - Arbon 
Interdiscount Division der Coop Basel;15390361;15390361;Interdiscount - Baar Gotthard
Interdiscount Division der Coop Basel;34799500;34799500;Interdiscount - Bachenbülach
Interdiscount Division der Coop Basel;4754988;4754988;Interdiscount - Baden West
Interdiscount Division der Coop Basel;5018960;5018960;Interdiscount - Basel Aeschen
Interdiscount Division der Coop Basel;5019114;5019114;Interdiscount - Basel Gundeli
Interdiscount Division der Coop Basel;34789595;34789595;Interdiscount - Basel Märthof
Interdiscount Division der Coop Basel;44989006;44989006;Interdiscount - Basel St. Jakob
Interdiscount Division der Coop Basel;5238213;5238213;Interdiscount - Basel Webergasse
Interdiscount Division der Coop Basel;7330275;7330275;Interdiscount - Bassecourt
Interdiscount Division der Coop Basel;5019086;5019086;Interdiscount - Bellinzona
Interdiscount Division der Coop Basel;34788641;34788641;Interdiscount - Bern Aarberger
Interdiscount Division der Coop Basel;34788728;34788728;Interdiscount - Bern Bahnhof
Interdiscount Division der Coop Basel;34788788;34788788;Interdiscount - Bern Bethlehem
Interdiscount Division der Coop Basel;47248690;47248690;Interdiscount - Bern Bubenbergplatz
Interdiscount Division der Coop Basel;38944408;38944408;Interdiscount - Bern Bubenbergplatz
Interdiscount Division der Coop Basel;34799496;34799496;Interdiscount - Bern Bümpliz
Interdiscount Division der Coop Basel;45082725;45082725;Interdiscount - Bern Ryfflihof
Interdiscount Division der Coop Basel;34788621;34788621;Interdiscount - Bern Waisenhausplatz
Interdiscount Division der Coop Basel;34788538;34788538;Interdiscount - Bern Wankdorf XXL
Interdiscount Division der Coop Basel;34788643;34788643;Interdiscount - Biel Bahnhof
Interdiscount Division der Coop Basel;34788723;34788723;Interdiscount - Biel Centre Bahnhof
Interdiscount Division der Coop Basel;34799497;34799497;Interdiscount - Biel Collègegasse
Interdiscount Division der Coop Basel;47248689;47248689;Interdiscount - Biel Coop City
Interdiscount Division der Coop Basel;44989007;44989007;Interdiscount - Biel Coop City
Interdiscount Division der Coop Basel;34788594;34788594;Interdiscount - Biel XXL
Interdiscount Division der Coop Basel;34788588;34788588;Interdiscount - Brig
Interdiscount Division der Coop Basel;5019150;5019150;Interdiscount - Brugg Neumarkt 2
Interdiscount Division der Coop Basel;34788653;34788653;Interdiscount - Buchs
Interdiscount Division der Coop Basel;34799503;34799503;Interdiscount - Bülach
Interdiscount Division der Coop Basel;5018969;5018969;Interdiscount - Bulle Le Câro
Interdiscount Division der Coop Basel;14780184;14780184;Interdiscount - Bulle Riaz
Interdiscount Division der Coop Basel;7789663;7789663;Interdiscount - Burgdorf
Interdiscount Division der Coop Basel;34788635;34788635;Interdiscount - Canobbio-Lugano
Interdiscount Division der Coop Basel;14033073;14033073;Interdiscount - Cham
Interdiscount Division der Coop Basel;16764181;16764181;Interdiscount - Chur City West XXL
Interdiscount Division der Coop Basel;5019106;5019106;Interdiscount - Chur Quader
