Sales Date,Business Unit,Discount_amount,promos
2021-09-16,Surface Book,225,4
2021-09-17,Surface Book,225,4
2021-09-18,Surface Book,225,4
2021-09-19,Surface Book,225,4
2021-09-20,Surface Book,225,4
2021-09-21,Surface Book,225,4
2021-09-22,Surface Book,225,4
2021-09-23,Surface Book,225,4
2021-09-24,Surface Book,225,4
2021-09-25,Surface Book,225,4
2021-09-26,Surface Book,225,4
2021-09-27,Surface Book,225,4
2021-09-28,Surface Book,225,4
2021-09-29,Surface Book,225,4
2021-09-30,Surface Book,225,4
2021-06-24,Surface Pro,268,2
2021-06-25,Surface Pro,268,2
2021-06-26,Surface Pro,268,2
2021-06-27,Surface Pro,268,2
2021-08-16,Surface Pro,224,2
2021-08-17,Surface Pro,224,2
2021-08-18,Surface Pro,224,2
2021-08-19,Surface Pro,224,2
2021-08-20,Surface Pro,224,2
2021-08-21,Surface Pro,224,2
2021-08-22,Surface Pro,224,2
2021-08-23,Surface Pro,224,2
2021-08-24,Surface Pro,224,2
2021-08-25,Surface Pro,224,2
2021-08-26,Surface Pro,224,2
2021-08-27,Surface Pro,224,2
2021-08-28,Surface Pro,224,2
2021-08-29,Surface Pro,224,2
2021-08-30,Surface Pro,224,2
2021-08-31,Surface Pro,224,2
2021-09-01,Surface Pro,224,2
2021-09-02,Surface Pro,224,2
2021-09-03,Surface Pro,224,2
2021-09-04,Surface Pro,224,2
2021-09-05,Surface Pro,224,2
2021-09-06,Surface Pro,224,2
2021-09-07,Surface Pro,224,2
2021-09-08,Surface Pro,224,2
2021-09-09,Surface Pro,224,2
2021-09-10,Surface Pro,224,2
2021-09-11,Surface Pro,224,2
2021-09-12,Surface Pro,224,2
2021-09-13,Surface Pro,224,2
2021-09-14,Surface Pro,224,2
2021-09-15,Surface Pro,224,2
2021-09-16,Surface Pro,224,2
2021-09-17,Surface Pro,224,2
2021-09-18,Surface Pro,224,2
2021-09-19,Surface Pro,224,2
2021-04-01,Surface Laptop,275,2
2021-04-02,Surface Laptop,275,2
2021-04-03,Surface Laptop,275,2
2021-04-04,Surface Laptop,275,2
2021-04-05,Surface Laptop,275,2
2021-04-06,Surface Laptop,275,2
2021-04-07,Surface Laptop,275,2
2021-04-08,Surface Laptop,275,2
2021-04-09,Surface Laptop,275,2
2021-04-10,Surface Laptop,275,2
2021-04-11,Surface Laptop,275,2
2021-04-12,Surface Laptop,275,2
2021-04-13,Surface Laptop,275,2
2021-04-14,Surface Laptop,275,2
2021-04-15,Surface Laptop,275,2
2021-04-16,Surface Laptop,275,2
2021-04-17,Surface Laptop,275,2
2021-04-18,Surface Laptop,275,2
2021-04-19,Surface Laptop,275,2
2021-04-20,Surface Laptop,275,2
2021-04-21,Surface Laptop,275,2
2021-04-22,Surface Laptop,275,2
2021-04-23,Surface Laptop,275,2
2021-04-24,Surface Laptop,275,2
2021-04-25,Surface Laptop,275,2
2021-04-26,Surface Laptop,275,2
2021-04-27,Surface Laptop,275,2
2021-04-28,Surface Laptop,275,2
2021-04-29,Surface Laptop,275,2
2021-04-30,Surface Laptop,275,2
2021-05-01,Surface Laptop,275,2
2021-05-02,Surface Laptop,275,2
2021-05-03,Surface Laptop,275,2
2021-05-04,Surface Laptop,275,2
2021-05-05,Surface Laptop,275,2
2021-05-06,Surface Laptop,275,2
2021-05-07,Surface Laptop,275,2
2021-05-08,Surface Laptop,275,2
2021-05-09,Surface Laptop,275,2
2021-05-10,Surface Laptop,275,2
2021-05-11,Surface Laptop,275,2
2021-05-12,Surface Laptop,275,2
2021-05-13,Surface Laptop,275,2
2021-05-14,Surface Laptop,275,2
2021-05-15,Surface Laptop,275,2
2021-05-16,Surface Laptop,275,2
2021-05-17,Surface Laptop,266,2
2021-05-18,Surface Laptop,266,2
2021-05-19,Surface Laptop,266,2
2021-05-20,Surface Laptop,266,2
2021-05-21,Surface Laptop,266,2
2021-05-22,Surface Laptop,266,2
2021-05-23,Surface Laptop,266,2
2021-05-24,Surface Laptop,266,2
2021-05-25,Surface Laptop,266,2
2021-05-26,Surface Laptop,266,2
2021-05-27,Surface Laptop,266,2
2021-05-28,Surface Laptop,266,2
2021-05-29,Surface Laptop,266,2
2021-05-30,Surface Laptop,266,2
2021-05-31,Surface Laptop,266,2
2021-06-01,Surface Laptop,266,2
2021-06-02,Surface Laptop,266,2
2021-06-03,Surface Laptop,266,2
2021-06-04,Surface Laptop,266,2
2021-06-05,Surface Laptop,266,2
2021-06-06,Surface Laptop,266,2
2021-06-07,Surface Laptop,266,2
2021-06-08,Surface Laptop,266,2
2021-06-09,Surface Laptop,266,2
2021-06-10,Surface Laptop,266,2
2021-06-11,Surface Laptop,266,2
2021-06-12,Surface Laptop,266,2
2021-06-13,Surface Laptop,266,2
2021-06-14,Surface Laptop,266,2
2021-06-15,Surface Laptop,266,2
2021-06-16,Surface Laptop,266,2
2021-06-17,Surface Laptop,266,2
2021-06-18,Surface Laptop,266,2
2021-06-19,Surface Laptop,266,2
2021-06-20,Surface Laptop,266,2
2021-06-21,Surface Laptop,266,2
2021-06-22,Surface Laptop,266,2
2021-06-23,Surface Laptop,266,2
2021-06-24,Surface Laptop,266,2
2021-06-25,Surface Laptop,266,2
2021-06-26,Surface Laptop,266,2
2021-06-27,Surface Laptop,266,2
2021-06-28,Surface Laptop,266,2
2021-06-29,Surface Laptop,266,2
2021-06-30,Surface Laptop,266,2
2021-07-01,Surface Laptop,266,2
2021-07-02,Surface Laptop,266,2
