Store_names,Reseller City,Super Division,Product Division,Business Unit,Sales Date,Rslr Sales Quantity,Rslr Sales Amount,black_week,christmas
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-01-31,2,537,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-02-28,3,743,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-03-31,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-04-30,11,2727,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-05-31,3,785,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-06-30,9,2355,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-07-31,2,537,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-08-31,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-09-30,1,231,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-10-31,5,1157,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-11-30,10,2372,1,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2017-12-31,8,1851,0,2
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-01-31,2,462,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-02-28,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-03-31,2,495,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-04-30,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-05-31,3,710,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-06-30,1,231,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-07-31,3,727,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-08-31,1,231,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-09-30,0,0,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-10-31,3,676,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-11-30,11,2504,1,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2018-12-31,5,1128,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2019-01-31,3,676,0,0
Media Markt Berlin Hbf,Berlin,EDG Managed - Xbox Hardware,Xbox Console,Xbox Series S,2019-02-28,5,1128,0,0
